# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416685566;39956464;224567960;84.89;305316;20820448;207980216;76.21
axle;60;1416685626;48052476;216471948;81.83;305404;12839824;207872084;76.17
axle;60;1416685686;46522580;218001844;82.41;305460;14744232;207456280;76.02
axle;60;1416685746;43809956;220714468;83.44;305516;15842520;209072080;76.61
axle;60;1416685806;45625580;218898844;82.75;305568;15644716;207457224;76.02
axle;60;1416685866;43855812;220668612;83.42;305640;17273656;207607452;76.07
axle;60;1416685926;40957460;223566964;84.52;305720;20282932;207497068;76.03
axle;60;1416685986;40105152;224419272;84.84;305784;21179748;207455820;76.02
axle;60;1416686046;40090212;224434212;84.84;305828;21181232;207455820;76.02
axle;60;1416686106;37618032;226906392;85.78;305888;23214452;207896468;76.18
axle;60;1416686166;37019276;227505148;86.01;305976;23294544;208410532;76.37
