# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416685566;sda;19.44;0.00;4417.25;227.19;0.68;35.02;0.31;0.60
axle;60;1416685626;sda;3.95;0.13;678.97;171.78;0.02;5.10;0.37;0.15
axle;60;1416685686;sda;1.80;0.00;293.52;163.04;0.01;4.70;0.19;0.03
axle;60;1416685746;sda;1.13;0.00;66.42;58.59;0.00;0.00;0.00;0.00
axle;60;1416685806;sda;0.85;0.00;76.15;89.57;0.00;0.08;0.08;0.01
axle;60;1416685866;sda;1.40;0.00;81.48;58.19;0.00;0.48;0.10;0.01
axle;60;1416685926;sda;0.95;0.00;73.20;77.05;0.00;0.00;0.00;0.00
axle;60;1416685986;sda;1.23;0.00;66.82;54.16;0.00;0.11;0.05;0.01
axle;60;1416686046;sda;0.97;0.13;71.61;74.21;0.00;0.07;0.07;0.01
axle;60;1416686106;sda;1.00;0.00;66.42;66.40;0.00;0.07;0.07;0.01
axle;60;1416686166;sda;1.12;0.00;79.45;71.16;0.00;0.06;0.06;0.01
