# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416686391;39201608;225322816;85.18;306820;21654852;207814540;76.15
axle;60;1416686451;37280576;227243848;85.91;306992;22113716;209253908;76.68
axle;60;1416686511;38964616;225559808;85.27;307108;21674596;208022552;76.22
axle;60;1416686571;36340712;228183712;86.26;307244;22064140;210247896;77.04
axle;60;1416686631;36965172;227559252;86.03;307400;22613436;209101200;76.62
axle;60;1416686691;36754124;227770300;86.11;307524;22978572;208960052;76.57
axle;60;1416686751;34676940;229847484;86.89;307656;23209560;210764668;77.23
axle;60;1416686811;37497500;227026924;85.82;307760;23211032;207963796;76.20
axle;60;1416686871;37579444;226944980;85.79;307888;23214464;207848576;76.16
axle;60;1416686931;37532040;226992384;85.81;308036;23341228;207780792;76.14
