Linux 3.0.101-0.15-default (axle) 	11/22/2014 	_x86_64_

08:58:51 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:59:51 PM     all     24.04      0.00      7.33      0.01      0.00     68.61
09:00:51 PM     all     25.35      0.00      6.71      0.00      0.00     67.94
09:01:51 PM     all     25.07      0.00      5.23      0.00      0.00     69.70
09:02:51 PM     all     19.46      0.00      5.78      0.00      0.00     74.76
09:03:51 PM     all     19.69      0.00      5.35      0.00      0.00     74.96
09:04:51 PM     all     20.23      0.00      4.84      0.00      0.00     74.93
09:05:51 PM     all     21.16      0.00      3.96      0.00      0.00     74.88
09:06:51 PM     all     21.16      0.00      4.05      0.00      0.00     74.79
09:07:51 PM     all     22.65      0.00      2.59      0.00      0.00     74.75
09:08:51 PM     all     21.44      0.00      3.74      0.00      0.00     74.82
