# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416686391;0.00;61.21;344213.82;0.00;33368.99;0.00;0.00;0.00;0.00
axle;60;1416686451;0.13;46.50;279000.40;0.00;22502.23;0.00;0.00;0.00;0.00
axle;60;1416686511;0.00;63.40;168202.35;0.00;20784.88;0.00;0.00;0.00;0.00
axle;60;1416686571;0.00;58.76;240102.13;0.00;14879.53;0.00;0.00;0.00;0.00
axle;60;1416686631;0.00;38.44;217198.14;0.00;20188.95;0.00;0.00;0.00;0.00
axle;60;1416686691;0.00;53.40;197450.48;0.00;11972.20;0.00;0.00;0.00;0.00
axle;60;1416686751;0.00;35.95;204317.51;0.00;13042.79;0.00;0.00;0.00;0.00
axle;60;1416686811;0.00;45.01;131805.58;0.00;16942.16;0.00;0.00;0.00;0.00
axle;60;1416686871;0.00;38.94;139925.80;0.00;6653.79;0.00;0.00;0.00;0.00
axle;60;1416686931;0.00;49.24;223806.64;0.00;12059.58;0.00;0.00;0.00;0.00
